epoch,slot,miner,proposer_stake,timestamp,block_hash,tx_count,throughput,avg_path_length,min_path_length,max_path_length,median_path_length,stake_concentration,gini_coefficient,consensus_type,consensus_state,avg_tx_delay_s,block_production_success,block_production_failed
0,2,0x18ace4e65d3ed57483716c290eaa5dc80fff66a1,4.111921,1772546355,02a9ec73529664d788fc32f9af7d47e123fd90794bc5ed8f03460da881d12627,1,0.00,1.00,1,1,1,0.009761,0.600005,POS,pos,0.00,0,0
0,3,0x50fd7cec35d6da8c1ceeb02c78df7b739d3dadb5,0.835185,1772546357,4ddc61909ec56dd6dd3e4fc00cc3685e5e821032de1f1f0ef16ab022c91196b2,200,40.00,4.03,1,6,4,0.009830,0.601495,POS,pos,1.56,1,0
0,4,0x786f26993bf015cd2da6fb5d3ccd1879e01246ab,0.568786,1772546359,3b3950357d41ef187abe67218f386a112fd6417c61c83f02f5142e0c84cf345b,186,93.00,4.73,2,6,5,0.009795,0.600898,POS,pos,1.48,2,0
1,0,0x18ace4e65d3ed57483716c290eaa5dc80fff66a1,5.113891,1772546361,6462a9c4c60650c62413320e6fbeaf02626a365e1c6c6c26d37c793582bec84f,207,103.50,4.49,1,6,5,0.009751,0.599888,POS,pos,1.46,3,0
1,1,0xd15c9356e40b449ea5f0b897e4f3205e286b4be0,4.191633,1772546363,ba1c649f971eca45cad07edd03e9e5b218525a283d033ed70fd21eaaeb76c941,203,67.67,3.95,1,6,4,0.009849,0.601456,POS,pos,2.52,4,0
1,2,0x04b366c0ed487e2dcc7b1ae7c2447921e88141c9,3.807854,1772546365,5cfdadbf4cd6b86998de216549cec679a31a4c90cdd43e581a547c77d872706d,180,90.00,4.66,2,6,5,0.009916,0.602905,POS,pos,2.44,5,0
1,3,0x04b366c0ed487e2dcc7b1ae7c2447921e88141c9,4.810034,1772546367,051ceb920a5624aa65a08396cac6e750cf3c2477d16bfda34bfb476285a690ee,218,109.00,3.69,1,6,4,0.009970,0.604215,POS,pos,2.52,6,0
1,4,0x61164cafd336ef80bc09a7a7732a184af471bf81,1.766263,1772546369,6657d98853b590e9bfc0c9911d1a83e5f689b59a8ad4b640079249ff2336a7aa,231,115.50,3.44,2,6,3,0.010054,0.605704,POS,pos,2.38,7,0
2,0,0xc925d2f6cce879a861809358c553c1eac5cc7f7a,3.526229,1772546372,66f6978f5f4f13202b526541220f162a0872f7d9253d4f57f592c72431432785,194,97.00,4.36,2,6,4,0.010045,0.605982,POS,pos,2.41,8,0
2,1,0xe1b305d3e7fe6c955492f2e116ccba9d449c136c,0.516617,1772546374,c6330c6fe3fe6e009d376fba4f95e5afd125468a4a81d6dfffb36c72fd68d189,214,107.00,4.09,1,6,4,0.010087,0.607150,POS,pos,2.32,9,0
2,2,0x377eaef292051bbf8ada05b2af76a3f3b9d722a7,0.788336,1772546376,68188fef526332b302c282de033f6cf0eabd1a50e4bc1083da5b8a18dedc5573,195,97.50,4.55,1,6,5,0.010040,0.606029,POS,pos,2.37,10,0
2,3,0x408bb0bf84df50b21c53c74420987f172d4036a1,0.469286,1772546378,30baa947691d4be5aefe1fbc065116614da89b5168cdf5f302c08bdc4200ac39,239,119.50,3.76,1,6,4,0.010001,0.605296,POS,pos,2.20,11,0
2,4,0x81193196c1dbdbf80709d43a5af5ce21c201fbd7,1.051534,1772546380,84b0aded71d2ccb420fb9f4222a12e418d25073691e42d078043d3de0c65dbd7,221,110.50,3.97,2,5,4,0.009953,0.604060,POS,pos,1.95,12,0
3,0,0xa7e910a0791e95ab3087aa3f0924fac13f86931c,0.992647,1772546382,5cf7d3e4fe69053bfb53bb5051c4af792157282187b9922c1d3ac492af0c0d4e,173,86.50,4.21,2,6,4,0.009923,0.603627,POS,pos,1.87,13,0
3,1,0x5c37d16202a70fcc74e4673ca5637a3d3d8dfb1a,3.956818,1772546384,0ba82a070a5aeb3c438bb693de903914abe61010e32e30a95f283663232da268,209,104.50,4.93,1,7,5,0.009890,0.603098,POS,pos,1.88,14,0
3,2,0x64b75d1be41ec37a3b89b4e8f73fdfbf89985d13,1.157554,1772546386,f3c06c2bc08ef766f09f35fefae12b787ace2fbbf27f91e1c859c38b0a38da3f,157,78.50,4.41,1,6,5,0.009943,0.604357,POS,pos,1.66,15,0
3,3,0x33af4c5018ce01c87c5cb0da30d9749dea5f7a26,1.135494,1772546388,93d06d41702fb6d2dd503a14a07d33555d1d0f8553584f577acb7e414873c39b,217,108.50,4.47,1,6,5,0.009915,0.603995,POS,pos,1.63,16,0
3,4,0xbccca4dbacbd806f4d049860147156ceff571acf,2.910007,1772546390,daf31db9642f6a6c64639be58c5a4c8c5d02cb248bc7a2bab5776326c250ac03,211,105.50,4.05,2,6,4,0.009915,0.604000,POS,pos,1.55,17,0
4,0,0xfe4716c11202f06ca79363ca5bde6bd38d899cec,4.613940,1772546392,2e1d56414cb035f106ecac4a92763d37f2dd892a8c2b88665909b634d53f864b,192,96.00,4.22,2,6,4,0.009937,0.604908,POS,pos,1.50,18,0
4,1,0x04cb4f4da7f4a0ef24cef3f3f17e268e928eb057,0.973803,1772546394,be77dadf81049bc01001de6f500860b26626a67650897cac25dca31ebb62a98b,203,101.50,4.62,2,6,5,0.010006,0.606281,POS,pos,1.54,19,0
4,2,0x1796dc61e715f15a2d27dfa32bd34780f12a8c24,0.955178,1772546396,599844879b1d53f299667a496698e01480a6f22a59de4979c35d745d8f51ab31,194,97.00,3.24,1,5,3,0.009972,0.605677,POS,pos,1.51,20,0
4,3,0x8659c6a1a91002b4e8256bb60af52d6f34fe88cc,4.272740,1772546398,07b03b9c64930e9092b1e226dc2184be95e1fd9e48649c54a8fedb6288f4c92b,216,72.00,3.89,1,6,4,0.009939,0.605026,POS,pos,2.50,21,0
4,4,0x6fffbc98201ac7b26abc2f3bcd1d9cc6660210b3,0.442884,1772546400,bd872c59b088dceb995ba5db8af27dbfadf28cea693e4f7b028c5fbeeeeaca79,190,95.00,4.88,1,6,5,0.009996,0.606288,POS,pos,2.44,22,0
5,0,0x18ace4e65d3ed57483716c290eaa5dc80fff66a1,6.115721,1772546403,9211422388d7dc15784d8b37da929c1c78d2a30c314a702fa7ae3e928bac9d2a,187,93.50,4.43,2,6,4,0.009948,0.604960,POS,pos,2.51,23,0
5,1,0xd30112d9e8fb890eee1497d58e0796d7099236c5,0.590899,1772546404,47d2d72ed7be4765c05635f2954fdaefc6ccce8546453c079e17fecedbc11479,190,95.00,3.80,1,6,4,0.010053,0.606397,POS,pos,2.26,24,0
5,2,0xd09afb3938315cb6bbce5e5580d97e1552e9e59c,4.033456,1772546406,2ee3e78c9caceda5d103dc165f1d642374c58e102fcb5029c7e63d0575af9e31,78,78.00,4.56,1,7,5,0.010009,0.605266,POS,pos,1.94,25,0
5,3,0xbcd1cc4247b7a8ce44c3c4960e381d234ede2998,1.835186,1772546408,dfda384386544207a8749c5d75bd5342d167ad9ecc4fb021893516d1bc8d80da,202,101.00,4.69,1,6,5,0.010056,0.606430,POS,pos,2.33,26,0
5,4,0xd15c9356e40b449ea5f0b897e4f3205e286b4be0,5.193293,1772546410,5fbabe9a66393bb0106b6250b0c9f130365df4c4802d5668b810f74494514010,215,107.50,4.47,1,6,4,0.010045,0.606679,POS,pos,2.06,27,0
6,0,0x468f86bc4d8ca88cd82c25d75c727a2ed05f1df2,1.800312,1772546412,210ea67af633a7e81af9ec5b9cdb89b775934ccdb0cefb7909f4d98450ef2149,178,89.00,4.58,2,6,5,0.010121,0.608031,POS,pos,1.93,28,0
6,1,0x43b706be97d53eea3699e723a3ed9a4e77b0a296,4.440085,1772546414,be6b6aa66a42e0e3099245aae32b35ebdac01dcdf3b6081ce9f18f42c983a4ab,220,110.00,4.31,2,7,4,0.010108,0.608215,POS,pos,1.83,29,0
6,2,0x40dc8d1b30ddbc93cd0640bbd8c161ec512f23ba,0.716010,1772546416,5e2581a436a189e4df4ab728d4d7e03bce54c72032988e2af9bc00a7c1d7c05f,200,100.00,4.14,2,6,4,0.010163,0.609419,POS,pos,1.63,30,0
6,3,0x81193196c1dbdbf80709d43a5af5ce21c201fbd7,2.053074,1772546418,e34f77c1e6d20c308ba39e63f78dd971a18a73895d2aeb659187ade6334f36bc,215,107.50,4.34,1,6,4,0.010163,0.609423,POS,pos,1.51,31,0
6,4,0x04cb4f4da7f4a0ef24cef3f3f17e268e928eb057,1.975653,1772546420,0718c1de2e72cbe2fa5ce8d9be6c0754d77ce4e8a6565c410c112e2699ef2357,179,89.50,4.22,1,6,4,0.010156,0.609777,POS,pos,1.49,32,0
7,0,0x24f3422e06352e7bf1d65d8b2f33bb54bc47dba5,4.525983,1772546422,e805726cde43a31f506cf76c40f2a58e803303e0cd77fa8c44081abd2335c9bd,203,101.50,3.21,2,5,3,0.010146,0.610048,POS,pos,1.44,33,0
7,1,0x24f3422e06352e7bf1d65d8b2f33bb54bc47dba5,5.527933,1772546424,90d8ce332de3055a9684f4c0e8af3357721637cf0c35c0a43c14687cb916975c,195,65.00,4.07,1,5,4,0.010201,0.611223,POS,pos,2.46,34,0
7,2,0x37cc7a82e66d4f4c2ae13b9ee895d3af1a1d7a05,1.699447,1772546426,5847386a08f23d92ac83cc1f42a7dc078af2692001d6766b6316c3437d1a45cb,199,99.50,4.01,2,6,4,0.010280,0.612532,POS,pos,2.49,35,0
7,3,0xf09094bd3225fa943cb77e8c15c3879f76fef26e,2.854601,1772546428,29f502e81ba2bbaf4d4b1141d480cfb05bd3f7c148be123875fdc081a036b2d6,172,86.00,4.51,1,6,5,0.010262,0.612550,POS,pos,2.53,36,0
7,4,0x9b46315c7b4e9d596103fa2d6c3eb98845b48474,1.092583,1772546430,dd64165a6db419c917e3c3511d65ca26033729ee18ce1179f63d5019476715c2,197,98.50,4.86,2,6,5,0.010273,0.613312,POS,pos,2.51,37,0
8,0,0xb5bd9a09974bf229341d914f01ce2e2c8b346713,2.139927,1772546432,2e72a88cef421b03661693a8222ce14e48bc53935f88b5207fc98634e46c3e31,119,119.00,3.92,1,6,4,0.010240,0.612744,POS,pos,1.76,38,0
8,1,0xf6e059718dbd0a0956726ab97d06bad5efc6cd18,0.579496,1772546434,f2cb6eea6c6370c3f498b368c455a1f515d05a5f88b8105f82523445f4fbf153,221,110.50,4.39,1,6,4,0.010233,0.613061,POS,pos,1.98,39,0
8,2,0xc925d2f6cce879a861809358c553c1eac5cc7f7a,4.528099,1772546436,7ed08079bf6c127d64f13f48013598a233fc2177d93d1971fa09d4c49466817e,195,97.50,4.59,2,6,5,0.010188,0.611905,POS,pos,1.90,40,0
8,3,0xeaa5003682d7289190651081ae2bee847097afc5,1.225989,1772546438,cecd4d70503f03fe2c2913f908fcdb9c270384cf744507735e081c5419eaa6ff,221,110.50,4.17,1,7,4,0.010239,0.613019,POS,pos,1.78,41,0
8,4,0x8659c6a1a91002b4e8256bb60af52d6f34fe88cc,5.274480,1772546440,3e73bca3f77e9ad6aa324004cb9bab2cf2e9fd68dbc86d2effdab7d14936808f,208,104.00,3.90,1,5,4,0.010209,0.612561,POS,pos,1.70,42,0
9,0,0xf09094bd3225fa943cb77e8c15c3879f76fef26e,3.856511,1772546442,dd5e82acae04ba78b28d2c7c86cd3217144493b31b22daf5191ff2bd37f8e28c,194,97.00,4.86,3,6,5,0.010276,0.613769,POS,pos,1.59,43,0
9,1,0xa447d277b02012c2afd9ddcbbe123f27cc971963,1.543633,1772546444,ef1156c659f33b1777faf0c6b0a3d14d30775b8d76fd7870ab35b7097d165046,196,98.00,4.90,1,6,5,0.010308,0.614748,POS,pos,1.60,44,0
9,2,0x908c4aa9c7360555ff390e0bfa275f690bd28087,2.099136,1772546446,5a8977c7a0b16e5c4876b2dc255cdb46146029aff16df9c575b9c5b332c8adba,203,101.50,4.61,1,6,5,0.010285,0.614572,POS,pos,1.49,45,0
9,3,0xfe4716c11202f06ca79363ca5bde6bd38d899cec,5.615770,1772546448,1c14995a4a74885d42ded2673ee9400916dbb0c69263063cc74c8abda08d8896,218,72.67,4.75,1,7,5,0.010276,0.614806,POS,pos,2.46,46,0
9,4,0x1182ac79bc697189a61c1f53ca104601dbff6c3e,1.514412,1772546450,8ecdff1e1b93d3df98a2fb45595bb40821d5fc4136a2cbfd17fca8b7d68df513,212,106.00,4.56,1,6,5,0.010347,0.616014,POS,pos,2.46,47,0
10,0,0xb5bd9a09974bf229341d914f01ce2e2c8b346713,3.142037,1772546453,4438d827a4a02073ea3855d433bd4a56e73a8d537d072c731229dfb0a26305b3,189,94.50,3.79,1,5,4,0.010323,0.615774,POS,pos,2.44,48,0
10,1,0xb83aa2df0df82da486d832ac1814119641823577,4.703300,1772546455,d29ba96ea8c8abde8504f2db15f979ded2f6a1dffa79de6ff009f0edaf87bf7d,231,115.50,4.47,1,6,4,0.010337,0.616575,POS,pos,2.25,49,0
10,2,0xf4953923a9081e03f1635145123e37c6ce528727,4.794304,1772546457,862e1e4de5bbb7abad83f13a6ed5b7780c959e7107c046bf409c4b34b6dc9485,224,112.00,4.82,1,7,5,0.010385,0.617629,POS,pos,2.20,50,0
10,3,0xdb45667100590f9cfe78a899c3b02c5cd37008f1,0.209149,1772546459,d87627ffc24f785e30f132f76663623cdbf574edbde1df99693325c5b501c460,182,91.00,5.06,1,7,5,0.010434,0.618666,POS,pos,2.17,51,0
10,4,0x8659c6a1a91002b4e8256bb60af52d6f34fe88cc,6.276330,1772546461,f21354ee28952b14d6c3512ce95ab2e2d7966cb00893af35ae70721dff34ed0e,250,125.00,4.40,2,6,4,0.010434,0.618671,POS,pos,1.99,52,0
11,0,0xda9317a8b194e8caa48c7c519e3603eb2bc318db,3.082438,1772546463,84baa411230eeb7b23e69c692cafc8c64385f22fc871d28efd9b4823c692dbab,131,65.50,4.69,2,6,5,0.010434,0.618675,POS,pos,1.49,53,0
11,1,0xd15c9356e40b449ea5f0b897e4f3205e286b4be0,6.194863,1772546465,72acec8c64db90c83bcd1af76cd05f8b847d25c766f484d20c8ff55eb27ddb41,217,108.50,4.52,1,6,5,0.010445,0.619413,POS,pos,1.70,54,0
11,2,0x8c5e2a702a8e3679fb4eb09a171f2dfbe0978ff0,2.694512,1772546467,8629cffbd0a86504736cd3c88608284e5471b8bdda6f37b2ef343bf6214dbbc8,175,87.50,4.71,2,6,5,0.010523,0.620626,POS,pos,1.49,55,0
11,3,0x468f86bc4d8ca88cd82c25d75c727a2ed05f1df2,2.802332,1772546469,45c3223705b51bf0ccbe3e15198466e44d8a15cd480c8f2ea2191187dcdae77f,204,68.00,4.66,2,6,5,0.010524,0.621170,POS,pos,2.56,56,0
11,4,0xfe4716c11202f06ca79363ca5bde6bd38d899cec,6.617750,1772546471,5fb8940491398cba49d862392960dcc0fc93bc8b2f42c3ae18db1577cc5737c8,213,106.50,4.29,1,7,4,0.010527,0.621736,POS,pos,2.45,57,0
